asin,price_amazon
B00NI3CSIS,60
B0186TTQUG,84
B075R6MC4M,320
B01J0BFAAO,1
B00PASUGTC,352.75
B01J97IXEO,108.25
B0771RXJ72,184.5
B017NT96P0,289
B06XYD1RZ3,208.75
B00BJ17WKK,40.25
B00JL248RY,68.5
B06XJ9KVMS,72.5
B01B9HBP4C,450
B00VIRG40O,482.75
B014M8JXT4,185.75
B0725FX4RF,583.25
B004OVE61U,40.5
B014Z7IOGA,58.5
B009F8Y7BQ,500
B00OOXCT6C,500
B00SVZT5Q6,500
B000FIJA6W,500
B01ESSWH50,404.5
B004HJ3J8K,162.5
B00OY50CZU,54.75
B016O5H3HM,60.75
B00JPK9T1W,62.75
B00T37R8NI,97.75
B073MFQZCK,139.5
B010KLQD36,171.5
B00MCKBZF0,846
B0053T4PHC,236.25
B076HCWGQH,35.25
B00TS1AZJ8,43.25
B00OY5UMD2,197
B0031RGEVS,205
B06Y1NPMCS,362
B01MDOH1NO,1128
B00MKJ69JU,141.75
B003YTAJT6,157.75
B00OLU11DA,507.5
B0000632H2,59.5
B00JCE14AU,67.25
B0762PQPYN,230.75
B00X140GW4,79.5
B00LIL7YVI,83.5
B06XDN53YC,318
B01GL65NMQ,175.25
B0073HDEXS,430.5
B079YV5XQH,4468.75
B074NBX5CY,1536.31
B013MC8H2A,152.07
B00A8EIO2E,304.14
B0000CFYOL,58.08
B01N6FX5M2,104.16
B00XWIVTXY,160.57
B00155PSXS,184.57
B01A60I4P6,184.82
B010CI925I,354.14
B00JL248ME,72.66
B0774VST1N,185.57
B005ZC4MM0,323.64
B01J4PR2A2,146.07
B0771TDBW4,170.07
B00M0FG00W,178.07
B001MS6OM2,36.58
B06XSWKGZP,81.16
B01AWH05GE,522.78
B00RVGXYJK,162.82
B076F94VK9,62.83
B00KSVXVXO,78.16
B01LWCOKAE,90.16
B07CMDRDCC,114.16
B01N5K3SIB,140.32
B074WC9YKL,70.41
B01BXDYYIQ,102.41
B077TG22H3,788.53
B00NQ17SKU,59.33
B00F9LIW5K,98.66
B00BFOZIR0,253.32
B00OTWXJNK,379.64
B00EXN4GK0,150.07
B00MXUCRG0,508.14
B00BGRML08,300.39
B009AEMB6I,31.79
B00HFBNNV0,151.07
B019EXSSBG,231.32
B0046AJJW0,231.82
B06XGFYT94,4749.49
B016YGMH9U,272.03
B01A60SYDI,1473.62
B01MR0UGFN,337.53
B00JPDMXE4,515.56
B01CUARK32,482.03
B07228XKNQ,708.81
B016NXEBU2,100.82
B013UCJFSW,121.07
B01NBI4DHP,113.57
B00VXW0J5A,36.91
B00MBUZ2DW,343.28
B006ZA1HFG,235.89
B00006I53D,375.78
B010FH2J9W,657.31
B00HYH7HXA,172.39
B01N0BZWQP,47.16
B000063570,94.32
B00VILQKQ8,94.32
B00ZC3S72I,98.32
B00PK2POOU,212.64
B00ZYCNH5O,74.57
B003BLOSJ4,78.57
B06WLGFWGX,569.31
B079Y1VTW4,111.57
B074KDJVS2,239.14
B00U0VEGRM,239.14
B004GBFVA8,159.39
B005YXXS4I,183.39
B072DWQTK3,95.82
B06Y1SQFV3,207.64
B079Z5FCH8,2225.99
B0051BS28A,100.23
