asin,prices_merchant,date_scrapped,price
B001G2BAGO,www-sonicelectronix-com,8/30/2017,34.99
B007QOIP3M,videojam-half,9/6/2017,11.79
B01M8OKROA,tanyastreasuries,9/6/2017,755.99
B019EXSSBG,outletpc,9/6/2017,159.89
B0143UM4TC,rebell57,9/6/2017,147.95
B00OQP5WS0,wholesale_connection,9/6/2017,79.99
B01L2U1OI8,department75,9/6/2017,96.99
B009WV8LC2,kmaacp,9/7/2017,139.99
B014Z7IOGA,Global Audio Video LLC,9/7/2017,37.57
B00T87H860,JB Tool Sales,9/7/2017,53.55
B01NAYM1TP,Echo and Optics,9/7/2017,2938.44
B00FRDV06I,Cameta Camera,9/7/2017,1799.99
B000YA33DC,Adorama Camera,9/8/2017,79.95
B004OVE61U,Direct Home Supplies,9/8/2017,47.19
B0172DS3ME,MA Trade LLC,9/8/2017,79.98
B01LWOKH7C,UnbeatableSale,9/8/2017,89.47
B004VSTYI6,DiscountCentralOnline,9/8/2017,114.99
B01D9LVL3G,Mwave,9/8/2017,377.71
B01ABXGZTK,Dell.com,9/8/2017,67.99
B013UCJFSW,My Goods,9/8/2017,143.89
B017Y5W0G0,Sound of Tri-State,9/8/2017,89.98
B0118LR9Z8,Digital Media Outlet,9/8/2017,59.99
B0072LEDYE,Car Audio Closeout,9/8/2017,173.79
B00025742A,All in Retail,9/8/2017,18.44
B00BPATVEA,BuyNESP.com,9/8/2017,65.06
B014M8JXT4,E-Warehouse-Deals,9/8/2017,214.99
B01FFV59PY,Deals Daily,9/8/2017,74.99
B00U90HMUC,Double Deals,9/8/2017,66.67
B00BGRML08,UnbeatableSale,9/8/2017,204.15
B016GNX30S,BidDeal,9/8/2017,101.12
B01MF9W0GU,VM Innovations,9/8/2017,398
B00A39PPI0,Sam Ash Music Direct,9/8/2017,179.99
B00VXMY262,DiamondBuy,9/8/2017,35.28
B00B22564K,"Marine Discount Center, LLC",9/8/2017,69.19
B01ABXGZTK,Technology Galaxy,5/24/2018,75.63
B01ABXGZTK,"SaveCentral, LLC",5/24/2018,69.96
B01M12RE4A,UnbeatableSale,5/24/2018,439.54
B01E6PGSK0,Monoprice Inc,5/24/2018,1399.99
B06XGFYT94,Video & Audio Center,5/24/2018,1597.99
B06XGDPKXL,Walts TV,5/24/2018,1797.99
B007QOIP3M,jama2363,9/11/2017,11.95
B06ZYRWSQY,meiyaps,9/11/2017,548.5
B01NAYL9H2,compucell.tech,9/11/2017,4199.99
B0118LR9Z8,summerishere-0,9/11/2017,33
B071RCNXXZ,serversourcetechnology,9/11/2017,749.99
B071RCNXXZ,lite_corp,9/11/2017,478.88
B0773ZF7Z9,aimusa,9/11/2017,106.99
B00GY0UB54,beachaudio,9/11/2017,99
B074T8F5D9,best_buy,9/11/2017,229.99
B019EXSSBG,outletpc,9/11/2017,139.43
B01FWIEIRU,buy.direct,9/11/2017,1775
B01FWIEIRU,thepixelhub,9/11/2017,1669.99
B01FWIEIRU,onsale777,9/11/2017,1709
B06ZY63J8H,recommercedallas,9/11/2017,139.99
B019Q895XE,sando_distributions,9/11/2017,59.95
B01JOBIFLQ,proavdealer,9/11/2017,845.9
B00VU2NHVG,goldstar_tech,9/11/2017,24.99
B01GITWG5S,best_buy,9/11/2017,499.99
B00F3F7316,photovideo4less,9/11/2017,129
B06VSWQDHJ,timespioneer2016,9/11/2017,99.99
B06VSWQDHJ,timespioneer2016,9/11/2017,84.99
B01MF9W0GU,VM Innovations,9/12/2017,449
B00OM40K1Y,cable-n-chargers,9/13/2017,7.45
B073JP6WK4,Video & Audio Center,5/27/2018,197.99
B00GY0UB54,blucoil,5/27/2018,79.99
B078GWPQRB,World Wide Stereo,5/27/2018,1298
