codigo_mes,mes,codigo_ca,comunidad_autonoma,codigo_provincia,provincia,codigo_municipio,municipio,total_paro_registrado,Paro_hombre_edad___25,Paro_hombre_edad_25__45,Paro_hombre_edad___45,Paro_mujer_edad___25,Paro_mujer_edad_25__45,Paro_mujer_edad___45,Paro_Agricultura,Paro_Industria,Paro_Construcci__n,Paro_Servicios,Paro_Sin_empleo_Anterior
201801,Enero de 2018,12,Galicia,27,Lugo,27019,Foz,543,9,97,112,9,173,143,23,42,53,398,27
201802,Febrero de 2018,12,Galicia,27,Lugo,27019,Foz,543,12,97,106,9,168,151,24,40,50,399,30
201803,Marzo de 2018,12,Galicia,27,Lugo,27019,Foz,508,6,83,105,7,162,145,21,34,50,373,30
201804,Abril de 2018,12,Galicia,27,Lugo,27019,Foz,507,7,79,109,9,160,143,18,29,48,383,29
201805,Mayo de 2018,12,Galicia,27,Lugo,27019,Foz,490,8,78,101,8,152,143,16,29,41,373,31
201806,Junio de 2018,12,Galicia,27,Lugo,27019,Foz,458,10,68,97,6,145,132,17,34,41,341,25
201807,Julio de 2018,12,Galicia,27,Lugo,27019,Foz,431,9,61,91,5,135,130,18,35,37,313,28
201808,Agosto de 2018,12,Galicia,27,Lugo,27019,Foz,433,9,70,88,9,128,129,16,42,40,308,27
201809,Septiembre de 2018,12,Galicia,27,Lugo,27019,Foz,464,16,72,88,11,143,134,15,44,36,339,30
201810,Octubre de 2018,12,Galicia,27,Lugo,27019,Foz,513,18,91,91,16,149,148,15,46,38,384,30
201811,Noviembre de 2018,12,Galicia,27,Lugo,27019,Foz,537,20,97,99,18,154,149,17,43,40,409,28
201812,Diciembre de 2018,12,Galicia,27,Lugo,27019,Foz,508,15,85,96,17,150,145,19,36,42,381,30
201801,Enero de 2018,12,Galicia,27,Lugo,27046,Pol,51,0,10,13,1,20,7,3,5,6,31,6
201802,Febrero de 2018,12,Galicia,27,Lugo,27046,Pol,52,0,12,10,1,21,8,5,4,5,31,7
201803,Marzo de 2018,12,Galicia,27,Lugo,27046,Pol,49,0,10,12,1,19,7,4,3,5,30,7
201804,Abril de 2018,12,Galicia,27,Lugo,27046,Pol,51,0,11,10,2,19,9,3,4,6,31,7
201805,Mayo de 2018,12,Galicia,27,Lugo,27046,Pol,45,0,7,11,1,17,9,2,4,5,28,6
201806,Junio de 2018,12,Galicia,27,Lugo,27046,Pol,45,0,6,11,2,16,10,2,2,5,30,6
201807,Julio de 2018,12,Galicia,27,Lugo,27046,Pol,47,0,7,11,2,17,10,1,3,4,33,6
201808,Agosto de 2018,12,Galicia,27,Lugo,27046,Pol,47,1,6,11,2,19,8,1,3,4,32,7
201809,Septiembre de 2018,12,Galicia,27,Lugo,27046,Pol,46,0,10,10,1,16,9,2,4,2,32,6
201810,Octubre de 2018,12,Galicia,27,Lugo,27046,Pol,43,0,7,9,1,16,10,2,3,2,30,6
201811,Noviembre de 2018,12,Galicia,27,Lugo,27046,Pol,45,1,7,11,0,18,8,2,4,1,32,6
201812,Diciembre de 2018,12,Galicia,27,Lugo,27046,Pol,41,1,9,9,0,15,7,1,4,1,30,5
201801,Enero de 2018,12,Galicia,27,Lugo,27028,Lugo,6592,192,1319,1358,179,1912,1632,223,365,569,4714,721
201802,Febrero de 2018,12,Galicia,27,Lugo,27028,Lugo,6574,194,1284,1367,186,1902,1641,213,363,568,4699,731
201803,Marzo de 2018,12,Galicia,27,Lugo,27028,Lugo,6566,194,1263,1378,203,1863,1665,211,369,564,4664,758
201804,Abril de 2018,12,Galicia,27,Lugo,27028,Lugo,6469,192,1220,1363,191,1850,1653,203,345,551,4593,777
201805,Mayo de 2018,12,Galicia,27,Lugo,27028,Lugo,6214,162,1159,1337,177,1784,1595,193,341,513,4448,719
201806,Junio de 2018,12,Galicia,27,Lugo,27028,Lugo,6160,162,1136,1330,161,1744,1627,189,352,522,4373,724
201807,Julio de 2018,12,Galicia,27,Lugo,27028,Lugo,6053,179,1093,1264,169,1755,1593,161,348,487,4321,736
201808,Agosto de 2018,12,Galicia,27,Lugo,27028,Lugo,6040,165,1099,1237,172,1777,1590,154,350,467,4338,731
201809,Septiembre de 2018,12,Galicia,27,Lugo,27028,Lugo,6161,171,1114,1238,186,1837,1615,151,360,447,4462,741
201810,Octubre de 2018,12,Galicia,27,Lugo,27028,Lugo,6001,176,1106,1220,187,1769,1543,164,336,456,4339,706
201811,Noviembre de 2018,12,Galicia,27,Lugo,27028,Lugo,5971,173,1096,1242,185,1734,1541,179,327,470,4295,700
201812,Diciembre de 2018,12,Galicia,27,Lugo,27028,Lugo,5866,181,1126,1247,173,1669,1470,197,335,488,4144,702
201801,Enero de 2018,12,Galicia,27,Lugo,27025,Xove,120,1,21,13,3,50,32,4,8,8,91,9
201802,Febrero de 2018,12,Galicia,27,Lugo,27025,Xove,126,3,22,16,2,53,30,5,8,8,96,9
201803,Marzo de 2018,12,Galicia,27,Lugo,27025,Xove,132,6,22,19,3,56,26,4,11,10,97,10
201804,Abril de 2018,12,Galicia,27,Lugo,27025,Xove,124,4,18,18,2,55,27,4,11,8,94,7
201805,Mayo de 2018,12,Galicia,27,Lugo,27025,Xove,120,4,18,15,1,55,27,4,8,7,96,5
201806,Junio de 2018,12,Galicia,27,Lugo,27025,Xove,117,4,18,14,2,53,26,3,5,8,94,7
201807,Julio de 2018,12,Galicia,27,Lugo,27025,Xove,100,2,13,11,2,45,27,5,4,6,77,8
201808,Agosto de 2018,12,Galicia,27,Lugo,27025,Xove,97,3,13,9,3,46,23,4,3,7,76,7
201809,Septiembre de 2018,12,Galicia,27,Lugo,27025,Xove,117,3,14,15,3,52,30,6,4,5,96,6
201810,Octubre de 2018,12,Galicia,27,Lugo,27025,Xove,115,1,17,15,1,47,34,6,4,7,91,7
201811,Noviembre de 2018,12,Galicia,27,Lugo,27025,Xove,107,0,19,9,1,42,36,5,5,7,83,7
201812,Diciembre de 2018,12,Galicia,27,Lugo,27025,Xove,104,0,21,12,2,38,31,6,5,7,79,7
201801,Enero de 2018,12,Galicia,27,Lugo,27002,Alfoz,73,2,19,18,2,20,12,2,10,7,53,1
201802,Febrero de 2018,12,Galicia,27,Lugo,27002,Alfoz,73,2,17,18,4,19,13,1,12,7,52,1
201803,Marzo de 2018,12,Galicia,27,Lugo,27002,Alfoz,70,2,16,17,3,17,15,2,12,6,49,1
201804,Abril de 2018,12,Galicia,27,Lugo,27002,Alfoz,69,1,12,18,5,19,14,1,12,8,47,1
201805,Mayo de 2018,12,Galicia,27,Lugo,27002,Alfoz,61,1,9,18,2,19,12,2,10,8,40,1
201806,Junio de 2018,12,Galicia,27,Lugo,27002,Alfoz,57,1,11,15,1,17,12,1,9,8,37,2
201807,Julio de 2018,12,Galicia,27,Lugo,27002,Alfoz,50,1,9,13,0,14,13,0,7,8,33,2
201808,Agosto de 2018,12,Galicia,27,Lugo,27002,Alfoz,49,0,9,14,0,14,12,0,5,8,34,2
