order_id,customer_id,product_id,quantity,list_price,revenue,order_date
26,1000,9995,1,471.56,471.56,2020-01-03
36,4881,893,1,315.37,315.37,2020-01-05
40,3630,6875,1,54.81,54.81,2020-01-06
46,188,776,1,725.25,725.25,2020-01-08
52,3279,7401,1,270.88,270.88,2020-01-10
58,583,8765,1,553.92,553.92,2020-01-11
89,3283,1783,1,72.46,72.46,2020-01-18
102,2634,4796,1,440.24,440.24,2020-01-20
106,548,1092,1,99.35,99.35,2020-01-21
108,1059,9948,1,321.6,321.6,2020-01-21
119,2494,5349,1,639.29,639.29,2020-01-24
143,2864,2154,1,995.78,995.78,2020-01-30
145,9,1494,1,904.89,904.89,2020-01-31
150,2003,9260,1,819.16,819.16,2020-02-01
170,3521,8357,1,122.42,122.42,2020-02-05
176,4108,3196,1,845.85,845.85,2020-02-07
185,3140,9824,1,202.78,202.78,2020-02-08
205,2850,7918,1,169.7,169.7,2020-02-13
215,1900,6817,1,204.93,204.93,2020-02-15
219,52,9078,1,650.94,650.94,2020-02-16
221,2178,4244,1,467.79,467.79,2020-02-16
227,1920,2746,1,652.43,652.43,2020-02-17
231,3868,7941,1,597.92,597.92,2020-02-18
236,3017,34,1,270.68,270.68,2020-02-18
263,3241,6513,1,444.87,444.87,2020-02-24
270,1641,128,1,806.3,806.3,2020-02-25
308,2612,904,1,461.89,461.89,2020-03-04
319,4622,8271,1,677.0,677.0,2020-03-07
382,1788,1026,1,851.36,851.36,2020-03-18
426,3163,2963,1,447.34,447.34,2020-03-28
437,3897,6420,1,795.21,795.21,2020-03-31
462,4304,2830,1,474.33,474.33,2020-04-06
470,2456,5447,1,680.57,680.57,2020-04-09
478,273,2895,1,725.58,725.58,2020-04-11
479,2901,3654,1,665.21,665.21,2020-04-11
481,465,473,1,975.82,975.82,2020-04-11
509,644,7185,1,247.67,247.67,2020-04-18
532,1126,2049,1,379.14,379.14,2020-04-24
535,4537,807,1,264.46,264.46,2020-04-24
543,1838,2485,1,812.11,812.11,2020-04-25
552,130,7450,1,341.09,341.09,2020-04-28
560,3786,754,1,898.49,898.49,2020-04-29
566,4592,8685,1,64.31,64.31,2020-05-01
580,561,9111,1,942.12,942.12,2020-05-03
599,3912,7758,1,40.42,40.42,2020-05-08
616,2017,3883,1,372.3,372.3,2020-05-11
617,2875,9676,1,501.0,501.0,2020-05-11
626,3288,9372,1,78.8,78.8,2020-05-13
630,2460,4607,1,718.64,718.64,2020-05-13
651,3069,1640,1,414.27,414.27,2020-05-16
661,3784,9405,1,647.34,647.34,2020-05-18
672,4754,2006,1,740.5,740.5,2020-05-21
683,1274,4233,1,208.3,208.3,2020-05-22
690,2905,5755,1,864.58,864.58,2020-05-23
694,1198,7417,1,292.56,292.56,2020-05-24
714,3603,3703,1,703.47,703.47,2020-05-29
719,3818,2246,1,434.67,434.67,2020-05-31
721,1231,3916,1,357.11,357.11,2020-05-31
752,306,978,1,450.76,450.76,2020-06-05
766,3434,9583,1,296.04,296.04,2020-06-09
778,2117,1011,1,326.75,326.75,2020-06-12
786,4699,7167,1,758.53,758.53,2020-06-14
794,2974,8011,1,675.39,675.39,2020-06-15
796,398,4018,1,917.5,917.5,2020-06-15
811,50,7393,1,895.76,895.76,2020-06-19
818,1577,1726,1,753.64,753.64,2020-06-20
827,4514,5535,1,748.85,748.85,2020-06-21
830,2488,8737,1,980.26,980.26,2020-06-22
832,3086,3535,1,358.69,358.69,2020-06-22
839,3962,1886,1,266.13,266.13,2020-06-23
853,198,1069,1,549.78,549.78,2020-06-25
879,1052,1975,1,290.82,290.82,2020-06-29
883,4594,8684,1,87.75,87.75,2020-07-01
885,1997,265,1,97.91,97.91,2020-07-01
894,3162,3530,1,46.11,46.11,2020-07-02
899,2321,4608,1,867.87,867.87,2020-07-04
900,1272,4782,1,759.71,759.71,2020-07-04
916,1377,3994,1,913.48,913.48,2020-07-07
935,4361,7454,1,166.08,166.08,2020-07-11
937,3437,7431,1,745.4,745.4,2020-07-12
954,2637,7664,1,954.57,954.57,2020-07-15
979,2531,2263,1,923.73,923.73,2020-07-20
985,477,8821,1,466.15,466.15,2020-07-21
990,1627,3640,1,50.91,50.91,2020-07-22
998,1757,3107,1,573.84,573.84,2020-07-23
999,743,3025,1,136.13,136.13,2020-07-23
1014,1506,7343,1,48.22,48.22,2020-07-27
1077,4479,6308,1,827.92,827.92,2020-08-10
1113,589,8778,1,142.41,142.41,2020-08-18
1128,4767,6621,1,111.56,111.56,2020-08-21
1136,379,636,1,799.03,799.03,2020-08-23
1159,342,5200,1,69.28,69.28,2020-08-28
1171,4699,7027,1,409.38,409.38,2020-08-29
1203,4072,351,1,305.44,305.44,2020-09-02
1207,3363,575,1,981.31,981.31,2020-09-04
1211,4179,9325,1,528.91,528.91,2020-09-04
1227,2070,6447,1,355.53,355.53,2020-09-09
1231,2784,2449,1,245.53,245.53,2020-09-09
1232,717,9879,1,116.83,116.83,2020-09-10
1234,2740,9649,1,771.33,771.33,2020-09-10
1242,2611,9445,1,777.53,777.53,2020-09-13
1247,1694,3898,1,225.42,225.42,2020-09-14
1262,746,8020,1,746.26,746.26,2020-09-18
1275,1165,6550,1,426.6,426.6,2020-09-20
1291,2601,4819,1,906.68,906.68,2020-09-24
1295,1886,51,1,58.82,58.82,2020-09-24
1303,3842,6401,1,411.64,411.64,2020-09-25
1310,1508,5150,1,208.96,208.96,2020-09-26
1318,94,6077,1,149.71,149.71,2020-09-28
1360,2331,5697,1,939.81,939.81,2020-10-07
1364,2515,5791,1,998.65,998.65,2020-10-08
1393,1207,6686,1,353.13,353.13,2020-10-15
1409,2728,798,1,345.18,345.18,2020-10-20
1411,1698,8135,1,351.11,351.11,2020-10-20
1426,2927,7198,1,785.32,785.32,2020-10-24
1427,4870,606,1,893.12,893.12,2020-10-24
1436,1147,5272,1,202.96,202.96,2020-10-27
1446,399,5654,1,338.59,338.59,2020-10-30
1450,2137,102,1,488.93,488.93,2020-10-30
1451,904,9933,1,733.55,733.55,2020-10-31
1455,1180,2708,1,355.18,355.18,2020-10-31
1470,261,1397,1,688.54,688.54,2020-11-03
1504,2284,9515,1,338.16,338.16,2020-11-11
1522,4984,5307,1,672.91,672.91,2020-11-14
1526,1492,3213,1,143.92,143.92,2020-11-15
1536,1425,2590,1,263.77,263.77,2020-11-17
1537,2645,9808,1,819.09,819.09,2020-11-17
1555,1930,4442,1,175.55,175.55,2020-11-20
1567,4483,1185,1,676.85,676.85,2020-11-24
1574,934,7518,1,602.62,602.62,2020-11-25
1579,993,3038,1,610.66,610.66,2020-11-26
1590,3033,7036,1,231.37,231.37,2020-11-28
1611,4119,664,1,175.07,175.07,2020-12-04
1639,4700,8772,1,550.1,550.1,2020-12-09
1653,1822,4626,1,471.16,471.16,2020-12-12
1669,2945,6660,1,986.77,986.77,2020-12-16
1676,2983,714,1,328.78,328.78,2020-12-17
1688,2566,6298,1,393.49,393.49,2020-12-19
1689,4898,9184,1,291.45,291.45,2020-12-19
1698,3252,4381,1,864.01,864.01,2020-12-21
1705,2312,3003,1,871.16,871.16,2020-12-23
1708,3653,7454,1,119.38,119.38,2020-12-23
1719,1045,9027,1,940.2,940.2,2020-12-26
1743,1583,5489,1,661.24,661.24,2021-01-01
1746,2606,3242,1,453.99,453.99,2021-01-01
1747,3718,9861,1,375.27,375.27,2021-01-02
1754,1612,1675,1,70.38,70.38,2021-01-03
1758,3077,1350,1,154.51,154.51,2021-01-04
1773,653,2557,1,923.43,923.43,2021-01-08
1776,36,6608,1,695.26,695.26,2021-01-09
1780,2201,9794,1,370.75,370.75,2021-01-10
1782,1917,4556,1,143.83,143.83,2021-01-10
1799,86,9495,1,691.78,691.78,2021-01-15
1800,3075,4834,1,948.81,948.81,2021-01-15
1803,1674,8310,1,752.26,752.26,2021-01-16
1804,142,6491,1,817.57,817.57,2021-01-16
1807,2468,7272,1,678.78,678.78,2021-01-17
1813,3670,1197,1,984.54,984.54,2021-01-19
1833,673,9784,1,518.94,518.94,2021-01-22
1840,2576,5387,1,542.27,542.27,2021-01-23
1841,1133,3095,1,924.97,924.97,2021-01-23
1844,2170,8394,1,966.42,966.42,2021-01-24
1847,2719,7229,1,486.33,486.33,2021-01-25
1856,2016,2602,1,659.4,659.4,2021-01-27
1861,1800,4010,1,356.44,356.44,2021-01-28
1872,2347,3669,1,701.97,701.97,2021-02-01
1887,230,7890,1,80.47,80.47,2021-02-04
1906,3272,6806,1,819.21,819.21,2021-02-07
1913,1217,320,1,795.93,795.93,2021-02-08
1915,3316,7393,1,885.79,885.79,2021-02-09
1916,3993,2993,1,925.4,925.4,2021-02-09
1923,1076,9961,1,725.02,725.02,2021-02-10
1927,886,5914,1,780.58,780.58,2021-02-11
1931,136,8983,1,398.81,398.81,2021-02-12
1937,2449,8801,1,584.73,584.73,2021-02-13
1966,4237,9368,1,873.61,873.61,2021-02-18
1967,1610,1997,1,643.05,643.05,2021-02-18
1968,4619,3062,1,587.91,587.91,2021-02-18
1977,1767,1255,1,782.63,782.63,2021-02-19
1996,1913,2404,1,171.0,171.0,2021-02-23
2034,3780,2986,1,682.96,682.96,2021-03-03
2051,1115,2245,1,250.89,250.89,2021-03-06
2054,828,8783,1,766.79,766.79,2021-03-07
2057,2023,2567,1,732.31,732.31,2021-03-08
2061,4708,6689,1,187.62,187.62,2021-03-08
2064,2902,6025,1,443.72,443.72,2021-03-10
2087,56,4547,1,299.49,299.49,2021-03-12
2096,3629,3332,1,334.67,334.67,2021-03-14
2103,4959,357,1,804.37,804.37,2021-03-15
2119,2075,6321,1,479.6,479.6,2021-03-19
2122,3648,8958,1,311.8,311.8,2021-03-20
2133,815,4378,1,695.34,695.34,2021-03-23
2137,3647,1778,1,344.04,344.04,2021-03-25
