product_id,brand,category,subcategory
47,Velasquez-Johnson,home,decor
211,Abbott Inc,home,decor
218,Payne  Turner and Baker,home,decor
252,Williams-Garcia,home,decor
301,Rush-Jones,home,decor
417,Hunter and Sons,home,decor
422,Robinson-Vega,home,decor
431,Vincent LLC,home,decor
453,Hernandez Group,home,decor
457,Rangel PLC,home,decor
484,Parker  Allen and Monroe,home,decor
520,Burton  Jackson and Stewart,home,decor
523,Reed Ltd,home,decor
547,James PLC,home,decor
636,Clements-Butler,home,decor
666,Mckee Inc,home,decor
674,Armstrong-Davis,home,decor
681,Brown-Harper,home,decor
697,Griffin-Wang,home,decor
722,Rice-Lee,home,decor
784,Torres-Garcia,home,decor
817,Allen-Brady,home,decor
826,Hunter-Meyer,home,decor
853,Fisher Inc,home,decor
868,Aguirre and Sons,home,decor
872,Ramos-Hunt,home,decor
998,Kim-Lane,home,decor
999,Trujillo Group,home,decor
1000,Byrd-Rios,home,decor
1018,West-Miller,home,decor
1020,Brooks  Hall and Wise,home,decor
1022,Francis and Sons,home,decor
1024,Miller  Gonzalez and Sawyer,home,decor
1040,Lynn Inc,home,decor
1041,Bennett  Ryan and Neal,home,decor
1065,Harris  Lucas and Howard,home,decor
1067,Barr Inc,home,decor
1068,Freeman  Perez and Patel,home,decor
1069,Duarte  Guzman and Salinas,home,decor
1082,Dunn Group,home,decor
1092,Smith Inc,home,decor
1124,Marquez  Hoffman and Hernandez,home,decor
1138,Pruitt Inc,home,decor
1164,Espinoza Ltd,home,decor
1168,Crane  Strickland and Davis,home,decor
1216,Dixon  Moran and Dixon,home,decor
1226,Allen-Miller,home,decor
1267,Hayes-Gill,home,decor
1291,Shaw-Taylor,home,decor
1314,Hill Ltd,home,decor
1320,Norman  Clark and Gonzales,home,decor
1375,Greene and Sons,home,decor
1413,Boyd-Adams,home,decor
1472,Morris-Franklin,home,decor
1540,Costa Ltd,home,decor
1584,Kennedy  Solis and Chapman,home,decor
1594,Lopez  Jarvis and Nolan,home,decor
1602,Reynolds Group,home,decor
1622,Ross  Dawson and Deleon,home,decor
1644,Obrien LLC,home,decor
1671,Davila  Mcmillan and Munoz,home,decor
1677,Sanders-Wilson,home,decor
1693,King Ltd,home,decor
1697,Wright  Schroeder and Riley,home,decor
1721,Schneider-Powell,home,decor
1742,Simpson  Fox and Davis,home,decor
1758,Johnson-Flynn,home,decor
1773,Woods  Wilson and Moore,home,decor
1804,Bailey-King,home,decor
1851,Morris-Ramirez,home,decor
1927,Short  Ortega and Parker,home,decor
1930,Rivers-Hensley,home,decor
1970,Harper-Kelly,home,decor
2023,Fleming Group,home,decor
2032,Coleman  Page and Johnson,home,decor
2049,Henry-Smith,home,decor
2130,Arnold Inc,home,decor
2132,Graham-Lynch,home,decor
2137,Jackson-Flowers,home,decor
2146,Evans Ltd,home,decor
2156,Tucker  Mathews and Rogers,home,decor
2171,Brewer Inc,home,decor
2196,Young  Arroyo and Anthony,home,decor
2238,Robinson  Evans and Davis,home,decor
2240,Jensen  Wallace and Sweeney,home,decor
2243,Goodman Inc,home,decor
2250,Woodward  Steele and Banks,home,decor
2287,Cook Ltd,home,decor
2297,Spencer-Robles,home,decor
2303,Stevens  Howell and Thompson,home,decor
2314,Wagner and Sons,home,decor
2384,Baker-Robinson,home,decor
2423,Williams-Swanson,home,decor
2452,Wilson-Miller,home,decor
2457,Mcclain  Edwards and Thornton,home,decor
2479,Meza  Jackson and Johnson,home,decor
2482,Smith-Colon,home,decor
2494,Elliott PLC,home,decor
2526,Cooper  Mullins and Thompson,home,decor
2572,James  Gonzalez and Bass,home,decor
2613,Hunter-Campbell,home,decor
2705,Wu-Robinson,home,decor
2778,Johnson  Johnson and Armstrong,home,decor
2830,Hughes-Fry,home,decor
2850,Black Group,home,decor
2877,Hernandez-Evans,home,decor
2882,Price LLC,home,decor
2928,Garcia  Meza and Savage,home,decor
2967,Dawson Inc,home,decor
2974,Caldwell-Oliver,home,decor
3016,Gilbert PLC,home,decor
3057,Smith  Powell and Walker,home,decor
3076,Harris PLC,home,decor
3126,Nguyen LLC,home,decor
3206,Fox  Waters and Cardenas,home,decor
3216,Frank-Walker,home,decor
3239,Smith Inc,home,decor
3250,Fuentes LLC,home,decor
3276,Elliott-Montgomery,home,decor
3296,Davis  Cole and Mendez,home,decor
3322,Weaver PLC,home,decor
3328,Collins Inc,home,decor
3382,Marshall Ltd,home,decor
3406,Church Ltd,home,decor
3461,White  Hardy and Lawson,home,decor
3491,Thompson-Roberts,home,decor
3502,Anderson-Jones,home,decor
3514,Johnson and Sons,home,decor
3518,Turner PLC,home,decor
3521,Williams Inc,home,decor
3544,Hall  Garcia and Blake,home,decor
3584,Williams Inc,home,decor
3591,Lutz-Hubbard,home,decor
3605,Mason-Craig,home,decor
3626,Calhoun LLC,home,decor
3682,Boyd  Stewart and Benjamin,home,decor
3692,Lozano-Evans,home,decor
3703,Roberts  Parker and Martinez,home,decor
3726,Parker LLC,home,decor
3734,Vaughn  Soto and Yoder,home,decor
3753,Brooks  Hernandez and Nguyen,home,decor
3768,Fox  Burch and Neal,home,decor
3777,Holder  Cooper and Mitchell,home,decor
3799,Norris-Bates,home,decor
3831,Williams-Harris,home,decor
3851,Sanchez  Lloyd and Weaver,home,decor
3855,Griffin-Wood,home,decor
3858,Mullen  Hale and Garza,home,decor
3866,Russell Group,home,decor
3878,Taylor  Barry and Morgan,home,decor
3895,Mcconnell LLC,home,decor
3942,Spencer Ltd,home,decor
3961,Davis  Steele and Carlson,home,decor
3982,Mccormick  Smith and Reed,home,decor
4015,Gould Group,home,decor
4048,Jackson-Golden,home,decor
4080,Medina  Hayden and Johns,home,decor
4097,Lawrence-Patterson,home,decor
4139,Wallace-Daugherty,home,decor
4221,Butler-Hill,home,decor
4254,Brown-White,home,decor
4291,Moore  Stevens and Martinez,home,decor
4327,Clayton Group,home,decor
4352,Macias Inc,home,decor
4375,Stephens  Boyle and Mitchell,home,decor
4405,Carter-Little,home,decor
4434,Johnson-Moody,home,decor
4453,Rose  Ramirez and Smith,home,decor
4500,Wallace LLC,home,decor
4541,Garcia  Stewart and Williams,home,decor
4569,Hernandez and Sons,home,decor
4609,Santiago  Marsh and Boyd,home,decor
4634,Roberts Group,home,decor
4685,Flores-Stafford,home,decor
4695,Adkins  Williams and Burch,home,decor
4706,Taylor LLC,home,decor
4727,Shaffer-Johnson,home,decor
4731,Hall  Flowers and Stephenson,home,decor
4782,Garcia PLC,home,decor
4809,Hansen and Sons,home,decor
4839,Lewis-Simmons,home,decor
4846,Green  Meyer and Garcia,home,decor
4849,Ramsey-Blair,home,decor
4876,Dunn Ltd,home,decor
4904,Mccarty LLC,home,decor
4941,Alvarado-Escobar,home,decor
4945,Spencer  Pierce and Coleman,home,decor
4998,Mitchell-Carrillo,home,decor
5043,Collins-Dixon,home,decor
5084,Gray LLC,home,decor
5088,Peters-Vincent,home,decor
5090,Simmons-Rodriguez,home,decor
5136,Cain-Roberts,home,decor
5153,Hart  Swanson and Pitts,home,decor
5157,Campbell-Parker,home,decor
